School_ID,Year,Avg_Attendance_Pct,NAPLAN_Score_Avg
2000,2022,88.9,526
2000,2023,90.3,528
2000,2024,92.2,533
2001,2022,95.2,541
2001,2023,94.0,530
2001,2024,94.2,
2002,2022,89.4,532
2002,2023,92.6,534
2002,2024,89.9,519
2003,2022,96.7,544
2003,2023,97.8,
2003,2024,95.7,535
2004,2022,81.6,526
2004,2023,82.1,530
2004,2024,81.5,526
2005,2022,88.7,522
2005,2023,88.5,522
2005,2024,88.6,536
2006,2022,84.5,530
2006,2023,83.8,512
2006,2024,82.6,525
2007,2022,89.0,521
2007,2023,91.3,527
2007,2024,89.3,498
2008,2022,97.5,538
2008,2023,94.3,548
2008,2024,94.4,534
2009,2022,91.6,
2009,2023,89.3,516
2009,2024,90.2,513
2010,2022,88.4,524
2010,2023,88.3,515
2010,2024,92.7,529
2011,2022,92.5,520
2011,2023,89.5,518
2011,2024,91.7,498
2012,2022,91.9,521
2012,2023,88.1,525
2012,2024,92.9,537
2013,2022,90.4,525
2013,2023,90.7,526
2013,2024,90.2,532
2014,2022,88.1,517
2014,2023,91.3,517
2014,2024,89.9,525
2015,2022,97.3,532
2015,2023,96.5,540
2015,2024,94.7,548
2016,2022,89.8,521
2016,2023,90.5,518
2016,2024,90.9,530
2017,2022,81.4,520
2017,2023,81.8,522
2017,2024,82.3,533
2018,2022,81.3,528
2018,2023,81.5,521
2018,2024,82.4,537
2019,2022,88.5,530
2019,2023,92.7,523
2019,2024,92.0,520
2020,2022,80.3,525
2020,2023,83.0,519
2020,2024,79.1,533
2021,2022,91.7,530
2021,2023,90.6,
2021,2024,88.3,523
2022,2022,91.5,520
2022,2023,90.8,
2022,2024,92.7,516
2023,2022,90.5,534
2023,2023,92.0,522
2023,2024,91.0,527
2024,2022,83.6,518
2024,2023,83.3,527
2024,2024,82.4,534
2025,2022,94.1,543
2025,2023,94.3,533
2025,2024,97.9,547
2026,2022,92.2,521
2026,2023,90.0,527
2026,2024,91.5,487
2027,2022,91.6,511
2027,2023,92.0,528
2027,2024,92.7,513
2028,2022,91.4,515
2028,2023,91.6,524
2028,2024,89.0,522
2029,2022,91.5,
2029,2023,91.6,529
2029,2024,88.7,523
2030,2022,88.2,524
2030,2023,88.7,
2030,2024,89.5,526
2031,2022,91.2,524
2031,2023,92.3,513
2031,2024,90.3,529
2032,2022,88.1,514
2032,2023,88.8,517
2032,2024,91.4,
2033,2022,88.1,515
2033,2023,91.0,527
2033,2024,89.2,517
2034,2022,88.4,528
2034,2023,89.6,528
2034,2024,89.2,521
2035,2022,90.3,513
2035,2023,89.0,514
2035,2024,91.0,513
2036,2022,92.2,523
2036,2023,90.0,532
2036,2024,92.5,492
2037,2022,97.5,548
2037,2023,94.7,545
2037,2024,96.0,530
2038,2022,88.9,521
2038,2023,92.8,532
2038,2024,90.8,523
2039,2022,83.2,
2039,2023,80.3,540
2039,2024,79.4,538
2040,2022,81.3,512
2040,2023,79.4,519
2040,2024,78.5,521
2041,2022,90.8,514
2041,2023,90.2,521
